Position CC / OVC (Picklist Label),Company (Label),Position Country (code),Legal Entity (Label),Legal Entity (Legal Entity Code),Location (Location Name),Business unit (Label),Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Position Position Title (Label),Position Job Function (Label),Work Contract (Picklist Label),CC / OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Electrical Panels,Electrician,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Salaried,Temporary Contractor,Training for Manuf,POPIA Intern,Contingent Worker,Indirect (IG),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Payroll Specialist I,Cost&Mngt Accounting,Wages Payroll Controller,Finance,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Boilermaker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Electrician,Continuous Miners,Electrician,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Boilermaker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Apprentice,Hourly,Temporary Contractor,Training for Manuf,Apprentice - Electrician,Contingent Worker,Indirect (IG),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Smart Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Supervisor II,Internal Sales,Customer Service Manager,Co. Owned Distribution,Supervision Sal (SA),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Electrical Panels,Electrician,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Human Resources,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Risk Management,Security,Contingent Worker,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Laborer,Paintshop (W),Masker,Manufacturing,Indirect (IG),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Fettler,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Planner I,Electric Motors,Electrical Motors Coordinator,Planning/Project Management,Direct (DL),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Accounts Payable Supervisor,Financial Manager,Accounts Payable Supervisor,Finance,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Mechanical Dept,Fitter,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer II,Procurement,Procurement Officer,Supply Chain,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Electrician,Electric Motors,Electrician,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Fettler,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer II,Procurement,Procurement Officer,Supply Chain,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Hourly,Fitter,Matla Serv Support,Serviceman,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer IV,Procurement,Commodity Specialist,Supply Chain,Cler & Sten Sal (SD),CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Engineer I,Quality Engineering,Quality Engineering Technician,Manufacturing Quality,Direct (DL),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Electrician,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Productivity Analyst Supervisor I,Condition Monitoring,Condition Monitoring Supervisor,Smart Services,Tech & Spec Sal (SE),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - SC,Fettler,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Shondoni Mining CPT,Assistant,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Admin,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,BEE Manager,Transformation,Manager - Transformation,Administrative,Supervision Sal (SA),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Drums & Chains,Welder,Contingent Worker,Apprentice (AT),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Shondoni Mining CPT,Assistant,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative II,CPT Kriel,Field Service Technician,Co. Owned Distribution,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Mechanical Dept,Fitter,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Operations Director,Managing Director,Director Operations,Manufacturing,Supervision Sal (SA),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Turner,Machine Shop (W),Turner,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Human Resources,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Risk Management,Security,Contingent Worker,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Aftrmkt Spt,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Hourly,Storeman,Sasol CPT Contract,Storeman,Supply Chain,Indirect (IG),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Pricing Analyst I,Mngr Marketing Serv,Commercial Proposal Specialist,Commercial,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Welder,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Hourly,Fitter,Aftermarket Maint.Ja,Fitter,Manufacturing,Direct (DL),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Cust Service,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Customer Service Representative I,Internal Sales,RPS Expeditor,Customer Service,SalesPerson Sal (SC),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Boilermaker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Intern,Salaried,Temporary Contractor,Training for Manuf,Project Management - Intern,Contingent Worker,Indirect (IG),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Hourly,Fitter,Aftermarket Maint.Ja,Fitter,Co. Owned Distribution,Direct (DL),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Boilermaker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Apprentice,Hourly,Temporary Contractor,Training for Manuf,Apprentice - Boilermaker,Contingent Worker,Indirect (IG),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Manager III,Quality Management,Manager QE/QC,Manufacturing Quality,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Boilermaker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Commercial,Komatsu Mining Technologies,General & Administrative,Temporary,Intern,Salaried,Temporary Contractor,Training for Manuf,Intern - Finance,Contingent Worker,Cler & Sten Sal (SD),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Warehouse Clerk II,Warehouse (W/Bank),Administrator - CEP and R&R,Supply Chain,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Electrical Panels,Electrician,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Manuf Overheads (W),General Worker,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative II,Field Tech Support,Field Service Technician,Co. Owned Distribution,Tech & Spec Sal (SE),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Electrical Panels,Electrician,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Temporary,Full-Time,Salaried,Temporary Contractor,Training for Manuf,Intern - Supply Chain,Contingent Worker,Cler & Sten Sal (SD),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative II,Field Tech Support,Field Service Technician,Co. Owned Distribution,Direct (DL),OVC
